,ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
80,2022-12-27 00:00:00+00:00,35,2,3100,121.35,121.49,120.34,120.5,402608,EA
81,2022-12-28 00:00:00+00:00,35,2,3101,120.73,121.45,119.43,119.43,425520,EA
82,2022-12-29 00:00:00+00:00,35,2,3100,119.54,122.9,119.41,122.07,589160,EA
83,2022-12-30 00:00:00+00:00,35,2,3094,120.51,122.71,120.51,122.71,607478,EA
84,2023-01-03 00:00:00+00:00,35,2,3090,122.18,124.66,122.18,122.6,779874,EA
85,2023-01-04 00:00:00+00:00,35,2,3090,124.22,126.21,123.2,124.36,733099,EA
86,2023-01-05 00:00:00+00:00,35,2,3090,123.82,125.35,122.2,124.5,507717,EA
87,2023-01-06 00:00:00+00:00,35,2,3089,124.25,126.6,123.0,123.51,1080582,EA
88,2023-01-09 00:00:00+00:00,35,2,3086,124.87,126.015,123.54,124.04,762120,EA
89,2023-01-10 00:00:00+00:00,35,2,3090,120.59,124.87,120.59,124.42,660229,EA
90,2023-01-11 00:00:00+00:00,35,2,3090,125.3,127.32,123.81,126.25,983779,EA
91,2023-01-12 00:00:00+00:00,35,2,3090,123.49,127.11,123.48,126.5,834391,EA
92,2023-01-13 00:00:00+00:00,35,2,3090,126.32,126.75,124.82,125.2,554311,EA
93,2023-01-17 00:00:00+00:00,35,2,3087,124.01,126.09,123.32,123.45,912983,EA
94,2023-01-18 00:00:00+00:00,35,2,3087,123.53,124.63,122.52,123.71,769761,EA
95,2023-01-19 00:00:00+00:00,35,2,3091,122.85,124.14,122.77,123.64,723217,EA
96,2023-01-20 00:00:00+00:00,35,2,3087,123.57,126.19,123.57,125.78,901080,EA
97,2023-01-23 00:00:00+00:00,35,2,3083,125.95,127.53,125.32,127.34,621584,EA
98,2023-01-24 00:00:00+00:00,35,2,3081,126.5,128.03,126.34,127.89,566880,EA
99,2023-01-25 00:00:00+00:00,35,2,3084,128.4,128.4,126.21,127.83,477537,EA
100,2023-01-26 00:00:00+00:00,35,2,3086,127.64,129.43,127.6,129.14,532863,EA
101,2023-01-27 00:00:00+00:00,35,2,3087,129.5,130.57,128.6,129.26,753890,EA
102,2023-01-30 00:00:00+00:00,35,2,3084,128.31,129.46,127.41,129.18,1018044,EA
103,2023-01-31 00:00:00+00:00,35,2,3084,128.15,129.83,113.04,115.15,1143610,EA
104,2023-02-01 00:00:00+00:00,35,2,3090,115.65,117.66,112.58,116.42,4389084,EA
105,2023-02-02 00:00:00+00:00,35,2,3087,116.78,117.73,114.11,115.4,2315439,EA
106,2023-02-03 00:00:00+00:00,35,2,3082,115.98,116.05,113.5,113.5,1562757,EA
107,2023-02-06 00:00:00+00:00,35,2,3082,113.92,114.0,111.44,112.0,1455834,EA
108,2023-02-07 00:00:00+00:00,35,2,3082,112.4,114.36,111.83,114.15,1599160,EA
109,2023-02-08 00:00:00+00:00,35,2,3082,114.0,114.06,112.28,112.51,863527,EA
110,2023-02-09 00:00:00+00:00,35,2,3082,113.3,113.94,111.39,111.87,1072179,EA
